SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,distance_to_bart_miles,within_0_5_miles_bart,distance_to_quality_school_miles,nearest_quality_school_name,nearest_quality_school_quality_distance,nearest_quality_school_quality_level,within_2_miles_quality_school,within_0_5_mile_quality_school,within_1_mile_quality_school,price_num,grade,holc_grade,holc_color,is_HOLC_A,is_HOLC_B,is_HOLC_C,is_HOLC_D,is_HOLC_red,sale_date,sale_year,year_built,sale_year_num,age_at_sale,dist_to_grocery_miles,dist_to_retail_dining_miles,dist_to_shopping_center_miles,dist_to_hiking_miles,dist_to_waterfront_miles,dist_to_employer_industrial_miles,dist_to_employer_pixar_miles,dist_to_employer_downtown_miles,dist_to_employer_college_miles,zip_code
PAST SALE,November-17-2023,Single Family Residential,3369 Arkansas St,Oakland,CA,94602,617000,1,1,LOWER LAUREL,649,2944,1928,NA,951,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/3369-Arkansas-St-94602/home/539783,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040897,N,Y,37.792741,-122.2054356,1.602530917109955,0,0.737492799229833,Sequoia Elementary,27.75,4,1,0,1,617000,C,C,yellow,0,0,1,0,0,2023-11-17,2023,1928,2023,95,2.4250931106816758,2.4368005690542236,4.117554174918801,1.565026378326885,3.870338348372838,4.012172689335137,5.085244247253181,3.38657719973242,6.067275373962948,94602
PAST SALE,December-30-2022,Single Family Residential,6846 Saroni Dr,Oakland,CA,94611,760000,1,1.5,MONTCLAIR,890,6500,1955,NA,854,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/6846-Saroni-Dr-94611/home/2040738,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41014388,N,Y,37.8344886,-122.1998575,2.8957212265291,0,0.6471387395685194,Thornhill Elementary,36.7,4,1,0,1,760000,A,A,green,1,0,0,0,0,2022-12-30,2022,1955,2022,67,2.963968927556879,0.7351453067822559,5.02050179293583,1.5228542247812171,4.989744849267581,5.073247163721286,4.576676825502814,3.92829060815861,4.050844028030867,94611
PAST SALE,NA,Single Family Residential,1004 39th St,Emeryville,CA,94608,262000,1,1,NA,779,2500,1925,NA,336,NA,NA,NA,NA,https://www.redfin.com/CA/Emeryville/1004-39th-St-94608/home/1832482,NA,NA,N,Y,37.8300097,-122.27712,0.552530768150446,0,0.86227843016943,Yu Ming Charter,91.65,5,1,0,1,262000,D,D,red,0,0,0,1,1,NA,NA,1925,NA,NA,0.9947131667114624,0.8137330725031118,0.8397187862483818,3.786316618320833,2.4296895969972185,1.9849064881027552,0.40315392595067723,1.6311150498278482,2.8957564897588624,94608
PAST SALE,NA,Condo/Co-op,200 Caldecott Ln #106,Oakland,CA,94618,360000,1,1,NA,773,NA,1996,NA,466,NA,NA,NA,NA,https://www.redfin.com/CA/Oakland/200-Caldecott-Ln-94618/unit-106/home/1446699,NA,NA,N,Y,37.856404,-122.2199322,1.892344591337201,0,1.3094295471789013,Hillcrest,46.35,4,1,0,0,360000,A,A,green,1,0,0,0,0,NA,NA,1996,NA,NA,1.934422833569678,1.8434070890106455,4.230551745605435,0.3720598400008657,5.248003339465459,5.280794882118649,3.8460423958960694,4.077382582451917,2.335741786526411,94618
PAST SALE,NA,Single Family Residential,5101 McDonell Ave,Oakland,CA,94619,250000,1,0.5,NA,647,1682,1928,NA,386,NA,NA,NA,NA,https://www.redfin.com/CA/Oakland/5101-McDonell-Ave-94619/home/1341664,NA,NA,N,Y,37.7880645,-122.1758689,2.6373347931843063,0,0.8424163711413514,Redwood Heights Elementary,41,5,1,0,1,250000,C,C,yellow,0,0,1,0,0,NA,NA,1928,NA,NA,4.0244522598414925,3.346707247645938,5.724234414063129,1.583642751684111,5.502101062053926,5.119532088962564,6.6439723560295265,5.022706915611687,7.24239477624644,94619
PAST SALE,August-9-2022,Single Family Residential,71 Norman Ln,Oakland,CA,94618,1023000,1,1,UPPER ROCKRIDGE,870,6156,1951,NA,1176,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/71-Norman-Ln-94618/home/1995488,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41004801,N,Y,37.8409605,-122.2336808,0.9969477655362209,0,0.05692750083166587,Hillcrest,46.35,4,1,1,1,1023000,B,B,blue,0,1,0,0,0,2022-08-09,2022,1951,2022,71,1.0803577119619365,1.150878323364366,3.2155448558722357,1.3586749572848904,3.9438425933447343,3.97798984014725,2.7885507667694496,2.7734144876062325,2.4210134368675393,94618
PAST SALE,March-5-2024,Single Family Residential,4129 Penniman Ct,Oakland,CA,94619,545000,1,1,Allendale,836,2421,1925,NA,652,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/4129B-Penniman-Ct-94619/home/109267762,San Francisco MLS,41047329,N,Y,37.784902,-122.2020175,1.3938479829175998,0,1.1891362740246763,Oakland Unity High,0.6999999999999993,4,1,0,0,545000,C,C,yellow,0,0,1,0,0,2024-03-05,2024,1925,2024,99,2.8770014743772965,2.895144820692801,4.3053922709835,1.9075428824411647,4.112292523260043,4.2601586402232785,5.547308938277659,3.7673604023018883,6.632187852644087,94619
PAST SALE,April-11-2022,Single Family Residential,3614 Mangels Ave,Oakland,CA,94619,530000,1,1,ALLENDALE,540,1600,1925,NA,981,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/3614-Mangels-Ave-94619/home/1910811,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40985787,N,Y,37.7902775,-122.2038588,1.5365620925925751,0,0.9282334225297675,Sequoia Elementary,27.75,4,1,0,1,530000,C,C,yellow,0,0,1,0,0,2022-04-11,2022,1925,2022,97,2.5852714691293204,2.5989951973781498,4.196454681312834,1.6427290709136875,3.966357199010649,4.110394681190777,5.250835460352757,3.526164687367668,6.25788746143367,94619
PAST SALE,August-17-2023,Single Family Residential,4046 39th Ave,Oakland,CA,94619,1000000,1,1,REDWOOD HEIGHTS,836,14850,1915,NA,1196,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/4046-39th-Ave-94619/home/1289475,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41036267,N,Y,37.7936939,-122.1912416,2.218597343169541,0,0.3586326754544027,Redwood Heights Elementary,41,5,1,1,1,1000000,C,C,yellow,0,0,1,0,0,2023-08-17,2023,1915,2023,108,3.1009258062203213,2.5946032398909944,4.895175345088253,1.1267974338850582,4.643231742923216,4.783825186024346,5.720148253561775,4.109411908911726,6.424927569143066,94619
PAST SALE,September-27-2021,Single Family Residential,6561 Chabot Rd,Oakland,CA,94618,500000,1,1,ROCKRIDGE,988,5450,1920,NA,506,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/6561-Chabot-Rd-94618/home/1224508,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40968789,N,Y,37.8500106,-122.2450453,0.49964919738924796,1,0.12392235101915301,Chabot Elementary,40.9,4,1,1,1,500000,B,B,blue,0,1,0,0,0,2021-09-27,2021,1920,2021,101,0.5155104517557372,0.4054677566772634,2.7965153664585314,1.691510282064036,4.174883480319259,4.132131808589218,2.4253834754048533,3.0318308747529747,1.5586594955810802,94618
PAST SALE,NA,Single Family Residential,7215 Outlook Ave,Oakland,CA,94605,430000,1,1,NA,558,2856,1924,NA,771,NA,NA,NA,NA,https://www.redfin.com/CA/Oakland/7215-Outlook-Ave-94605/home/1775418,NA,NA,N,Y,37.7709551,-122.1705657,1.8670668629755989,0,0.836433853829933,Oakland Unity High,0.6999999999999993,4,1,0,1,430000,B,B,blue,0,1,0,0,0,NA,NA,1924,NA,NA,3.5194139231951485,4.506021676980028,5.433859977438565,2.795640985991527,6.003794451042157,4.140556401782628,7.50513950961579,5.7346884211779114,8.359623178485771,94605
PAST SALE,February-6-2023,Single Family Residential,8815 Birch St,Oakland,CA,94621,415000,1,1,WEBSTER,624,2430,1924,NA,665,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/8815-Birch-St-94621/home/2005599,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41016572,N,Y,37.7530049,-122.1703014,1.4147266015702498,0,0.7198026358823811,Francophone Charter School Of Oakland,10.1,4,1,0,1,415000,D,D,red,0,0,0,1,1,2023-02-06,2023,1924,2023,99,2.312613988093574,5.628964534239699,4.348661923945218,3.9980493835891,6.469475494444038,3.10193073776633,8.28434478082245,6.407900574289831,9.405276982850406,94621
PAST SALE,NA,Single Family Residential,4035 Park Blvd,Oakland,CA,94602,990000,NA,NA,NA,NA,9075,NA,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Oakland/4035-Park-Blvd-94602/home/22719379,NA,NA,N,Y,37.80636,-122.225199,2.1747750404538193,0,0.2934973719930967,Edna Brewer Middle,-3.8499999999999996,4,1,1,1,990000,B,B,blue,0,1,0,0,0,NA,NA,NA,NA,NA,1.0673112891156993,1.0653220889262662,3.2593513163290355,2.142785324573415,2.8994466639763785,3.0176710145408565,3.6739834648160388,2.127571472678152,4.7459801390390615,94602
PAST SALE,February-10-2025,Single Family Residential,4730 Congress Ave,Oakland,CA,94601,360000,1,1,Fairfax,808,2500,1926,NA,446,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/4730-Congress-Ave-94601/home/1618550,San Francisco MLS,41085333,N,Y,37.7781883,-122.2038366,1.13402998748267,0,1.0492530491638359,Oakland Unity High,0.6999999999999993,4,1,0,0,360000,C,C,yellow,0,0,1,0,0,2025-02-10,2025,1926,2025,99,3.1048352724877843,3.1294080605508108,4.262704193153525,2.369086235743162,4.119432837239591,4.1760487988499175,5.759861395361001,3.9085539775113594,7.0009892065057455,94601
PAST SALE,NA,Single Family Residential,5214 Boyd Ave,Oakland,CA,94618,875000,2,1,NA,668,1890,1910,NA,1310,NA,NA,NA,NA,https://www.redfin.com/CA/Oakland/5214-Boyd-Ave-94618/home/529888,NA,NA,N,Y,37.8377657,-122.2562274,0.5513774713264233,0,0.7863955427390379,Peralta Elementary,34.25,4,1,0,1,875000,C,C,yellow,0,0,1,0,0,NA,NA,1910,NA,NA,0.2918083673042377,0.4488685419754694,1.9659329064429747,2.5265518000013394,3.160541373333549,3.094765528422079,1.539600483666371,2.0478486329544374,2.200539685980864,94618
